geography_level,geography_name,year,indicator_group,indicator,value,unit,source_table,source,is_pilot_region
province,North West,2022,livestock_population,sheep,550344,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,North West,2022,livestock_population,goats,451707,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,North West,2022,livestock_population,pigs,141949,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,North West,2022,livestock_population,chickens,5591672,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Gauteng,2022,livestock_population,cattle,483591,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Gauteng,2022,livestock_population,sheep,291271,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Gauteng,2022,livestock_population,goats,171027,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Gauteng,2022,livestock_population,pigs,296701,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Gauteng,2022,livestock_population,chickens,5211709,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Mpumalanga,2022,livestock_population,cattle,1105270,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Mpumalanga,2022,livestock_population,sheep,436112,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Mpumalanga,2022,livestock_population,goats,308045,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Mpumalanga,2022,livestock_population,pigs,182726,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Mpumalanga,2022,livestock_population,chickens,3142860,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",False
province,Limpopo,2022,livestock_population,cattle,1158976,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",True
province,Limpopo,2022,livestock_population,sheep,592758,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",True
province,Limpopo,2022,livestock_population,goats,862580,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",True
province,Limpopo,2022,livestock_population,pigs,262530,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",True
province,Limpopo,2022,livestock_population,chickens,4752754,animals,9.9,"Statistics South Africa, Census 2022 Statistical Release (P0301.4)",True
